,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,Los Llanos de Aridane,75,ES,1586657101,68,28.66,-17.92,68.0,4.6
96,Auki,85,SB,1586657101,71,-8.77,160.7,83.93,0.76
97,Dunedin,100,NZ,1586656905,76,-45.87,170.5,60.01,6.33
98,Hurghada,21,EG,1586657102,49,27.26,33.81,66.24,6.43
99,Araouane,0,ML,1586657102,14,18.9,-3.53,80.01,0.83
100,Tessalit,0,ML,1586657032,14,20.2,1.01,77.38,1.93
101,San Francisco,75,US,1586656901,71,37.77,-122.42,61.0,6.2
102,Mataura,18,NZ,1586657102,48,-46.19,168.86,72.0,4.47
103,Sept-Îles,20,CA,1586657103,47,50.2,-66.38,35.01,3.6
104,Namatanai,98,PG,1586657103,71,-3.67,152.43,84.29,1.4
105,Bambous Virieux,40,MU,1586656869,78,-20.34,57.76,79.0,6.7
106,Esperance,100,AU,1586657051,35,-33.87,121.9,84.2,8.7
107,Olpād,0,IN,1586657104,29,21.33,72.75,88.09,4.67
108,Deputatsky,73,RU,1586657104,91,69.3,139.9,24.53,7.2
109,Roald,100,NO,1586657104,81,62.58,6.13,46.4,9.8
110,Mount Isa,1,AU,1586657105,12,-20.73,139.5,84.2,5.7
111,Kahului,1,US,1586657105,58,20.89,-156.47,82.4,6.7
112,Lloró,100,CO,1586657105,92,5.5,-76.55,75.42,0.85
113,Clyde River,75,CA,1586657106,84,70.47,-68.59,-0.4,2.1
114,Terrace Bay,22,CA,1586657106,83,48.78,-87.1,32.76,5.77
115,Marawi,23,PH,1586657106,40,8.0,124.29,84.78,2.01
116,Christchurch,94,NZ,1586656890,37,-43.53,172.63,72.0,7.7
117,Arrondissement d'Arcachon,100,FR,1586657107,93,44.59,-1.05,55.99,1.0
118,Maiduguri,91,NG,1586657047,29,11.85,13.16,74.7,2.67
119,Saint Paul Harbor,90,US,1586657043,80,57.79,-152.41,39.2,7.7
120,East London,100,ZA,1586657109,57,-33.02,27.91,76.1,3.89
121,Upernavik,100,GL,1586657109,86,72.79,-56.15,20.37,1.03
122,Pisco,75,PE,1586657109,78,-13.7,-76.22,73.99,3.6
123,Nanortalik,100,GL,1586657109,76,60.14,-45.24,36.9,17.15
124,Cidreira,23,BR,1586657107,71,-30.18,-50.21,64.42,1.45
125,Longyearbyen,20,SJ,1586657111,69,78.22,15.64,-7.6,2.6
126,Anchorage,1,US,1586656800,27,61.22,-149.9,41.0,2.6
127,Hīt,36,IQ,1586657111,46,33.64,42.83,64.17,3.6
128,Vera Cruz,99,BR,1586657111,82,-12.63,-41.03,69.71,1.0
129,Salamanca,100,ES,1586657112,93,40.83,-6.0,51.8,0.89
130,Arlit,23,NE,1586657112,14,18.74,7.39,80.37,3.88
131,Krasnosel'kup,100,RU,1586657112,99,65.7,82.47,35.58,6.84
132,Vestmannaeyjar,100,IS,1586657112,83,63.44,-20.27,41.76,6.38
133,Muros,90,ES,1586657112,93,42.78,-9.06,54.0,1.0
134,The Valley,20,AI,1586657014,78,18.22,-63.06,81.0,4.1
135,Naze,75,JP,1586657113,83,28.37,129.48,69.8,7.2
136,Bentiu,100,SS,1586657113,24,9.23,29.83,87.82,1.17
137,Pochutla,79,MX,1586657113,76,15.74,-96.47,80.01,3.27
138,Talara,99,PE,1586657114,69,-4.58,-81.27,76.51,1.74
139,São Filipe,35,CV,1586657114,75,14.9,-24.5,74.5,4.4
140,Kapaa,90,US,1586657052,73,22.08,-159.32,78.8,7.7
141,Nikolskoye,6,RU,1586657101,92,59.7,30.79,24.8,1.0
142,Asmara,0,ER,1586656868,49,15.33,38.93,54.23,0.96
143,Saint-Joseph,19,RE,1586657115,69,-21.37,55.62,73.99,3.1
144,Glens Falls,1,US,1586657058,29,43.31,-73.64,41.0,3.1
145,Strezhevoy,100,RU,1586657115,97,60.73,77.59,37.4,3.0
146,Castro,32,BR,1586656818,73,-24.79,-50.01,55.18,2.47
147,Ribas do Rio Pardo,59,BR,1586657115,65,-20.44,-53.76,70.77,1.65
148,Srednekolymsk,33,RU,1586657116,97,67.45,153.68,30.49,4.77
149,Isangel,20,VU,1586657121,62,-19.55,169.27,79.03,1.98
150,Edson,75,CA,1586656848,30,53.58,-116.44,30.2,8.2
151,Emerald,0,AU,1586657123,20,-23.53,148.17,88.0,6.2
152,Bayburt,31,TR,1586657124,51,40.26,40.23,28.71,1.88
153,Mahébourg,40,MU,1586657102,78,-20.41,57.7,78.01,6.7
154,Kyra,0,RU,1586657124,19,49.58,111.98,59.32,3.92
155,Sosnogorsk,100,RU,1586657124,94,63.6,53.88,20.93,0.81
156,Tiksi,94,RU,1586657124,90,71.69,128.87,6.48,8.93
157,Hong Kong,20,HK,1586657125,49,22.29,114.16,72.0,8.7
158,Óbidos,98,BR,1586657125,88,-1.92,-55.52,76.91,0.11
159,Sørland,100,NO,1586657125,84,67.67,12.69,33.78,9.18
160,Provideniya,100,RU,1586657125,93,64.38,-173.3,32.54,2.81
161,Oranjemund,50,NA,1586657125,92,-28.55,16.43,57.96,0.36
162,Lorengau,51,PG,1586657126,71,-2.02,147.27,84.81,1.33
163,Saint-Philippe,22,RE,1586657126,69,-21.36,55.77,73.99,3.1
164,Ugoofaaru,10,MV,1586657126,68,5.67,73.0,85.46,3.29
165,Toora-Khem,49,RU,1586657127,49,52.47,96.11,40.73,1.83
166,George Town,20,MY,1586657090,79,5.41,100.34,87.8,2.6
167,Esim,75,GH,1586657127,84,4.87,-2.24,80.35,1.08
168,Antalaha,18,MG,1586657127,83,-14.9,50.28,76.32,4.72
169,Pāchora,0,IN,1586657127,12,20.67,75.35,93.63,0.69
170,Port Alfred,37,ZA,1586657128,78,-33.59,26.89,66.99,1.79
171,Beloha,100,MG,1586657128,73,-25.17,45.05,71.31,3.05
172,Sousse,0,TN,1586657111,87,35.83,10.64,61.0,1.0
173,Locri,20,IT,1586657128,87,38.24,16.26,60.01,1.5
174,Severo-Kuril'sk,70,RU,1586657129,95,50.68,156.12,31.15,3.25
175,Saint-Pierre,18,RE,1586657129,69,-21.34,55.48,73.99,3.1
176,Zhigansk,71,RU,1586657129,92,66.77,123.37,25.92,6.98
177,Presidencia Roque Sáenz Peña,0,AR,1586657129,62,-26.79,-60.44,58.32,1.77
178,Nabire,86,ID,1586657129,53,-3.37,135.48,90.25,1.67
179,Bethel,1,US,1586657130,48,41.37,-73.41,48.0,2.1
180,Kenai,20,US,1586657130,44,60.55,-151.26,42.8,6.2
181,Oodweyne,49,SO,1586657130,49,9.41,45.06,71.69,4.14
182,Bairnsdale,62,AU,1586657130,70,-37.83,147.62,64.0,1.34
183,Tuatapere,32,NZ,1586657130,48,-46.13,167.68,72.0,4.47
184,Zatyshshya,4,UA,1586657131,69,47.33,29.87,37.29,3.02
185,Verāval,19,IN,1586657131,41,20.9,70.37,86.13,5.93
186,Hualmay,6,PE,1586657131,77,-11.1,-77.61,72.63,3.33
187,Ribeira Grande,0,PT,1586657131,74,38.52,-28.7,60.96,2.4
188,Cadillac,1,US,1586657132,45,44.25,-85.4,48.2,2.55
189,Yellowknife,20,CA,1586657132,52,62.46,-114.35,17.6,7.2
190,Bozova,0,TR,1586657133,56,37.36,38.53,44.6,4.1
191,Tuktoyaktuk,20,CA,1586657133,84,69.45,-133.04,8.6,4.6
192,Kruisfontein,100,ZA,1586657133,54,-34.0,24.73,60.84,3.72
193,Lakes Entrance,56,AU,1586657134,70,-37.88,147.98,57.99,1.34
194,Ussel,0,FR,1586657135,63,45.55,2.32,44.6,0.81
195,Torbay,90,CA,1586657114,74,47.67,-52.73,34.0,9.8
196,Saskylakh,0,RU,1586657133,91,71.92,114.08,4.95,3.36
197,Paamiut,100,GL,1586657135,89,61.99,-49.67,36.03,3.26
198,Thompson,90,CA,1586657136,72,55.74,-97.86,17.6,6.7
199,Sakakah,0,SA,1586657136,46,29.97,40.21,53.6,2.1
200,São João da Barra,100,BR,1586657136,87,-21.64,-41.05,71.51,5.44
201,Tchibanga,96,GA,1586657136,92,-2.85,11.03,71.51,1.25
202,Cabo Rojo,1,PR,1586657137,83,18.09,-67.15,82.0,2.1
203,Arraial do Cabo,79,BR,1586657122,76,-22.97,-42.03,72.41,2.6
204,Douglas,1,US,1586657137,26,41.3,-96.17,61.0,6.2
205,Hervey Bay,0,AU,1586657137,32,-25.3,152.85,84.0,3.1
206,Tucuruí,92,BR,1586657137,93,-3.77,-49.67,75.0,0.29
207,Hope,90,US,1586657138,93,33.67,-93.59,57.2,2.6
208,Gillette,90,US,1586657138,92,44.29,-105.5,23.0,7.7
209,Bengkulu,45,ID,1586657138,62,-3.8,102.27,88.03,1.71
210,Praia da Vitória,40,PT,1586657138,82,38.73,-27.07,60.8,5.1
211,Fasa,75,IR,1586657138,87,28.94,53.65,57.2,1.18
212,Dzhebariki-Khaya,100,RU,1586657139,92,62.22,135.8,33.82,3.38
213,Luganville,68,VU,1586657140,64,-15.53,167.17,83.79,2.63
214,Narsaq,100,GL,1586657127,36,60.92,-46.05,46.4,17.5
215,Santiago del Estero,19,AR,1586657140,58,-27.8,-64.26,63.59,3.7
216,Kavieng,95,PG,1586657140,69,-2.57,150.8,84.36,1.59
217,Requena,84,ES,1586657141,76,39.49,-1.1,57.0,1.5
218,Acapulco de Juárez,40,MX,1586656936,78,16.86,-99.89,80.6,4.1
219,Harper,13,LR,1586657141,84,4.38,-7.72,78.6,0.28
220,Yar-Sale,44,RU,1586657141,91,66.83,70.83,12.34,1.81
221,Jacareacanga,91,BR,1586657142,91,-6.22,-57.75,73.35,0.71
222,Santa Cruz de la Sierra,0,BO,1586657142,68,-17.8,-63.17,69.8,2.1
223,Leżajsk,90,PL,1586657142,51,50.26,22.42,37.4,2.1
224,Ashtian,0,IR,1586657143,32,34.52,50.0,38.46,5.56
225,Bonthe,11,SL,1586657143,83,7.53,-12.51,80.33,1.59
226,Laramie,75,US,1586657143,48,41.31,-105.59,55.4,9.3
227,Ambon City,40,ID,1586657143,70,-3.7,128.18,87.8,1.5
228,Bellevue,20,US,1586656967,24,47.61,-122.2,57.99,5.1
229,Port Keats,93,AU,1586657144,59,-14.25,129.55,88.86,2.86
230,Nome,90,US,1586657028,92,64.5,-165.41,30.2,4.6
231,Fara in Sabina,0,IT,1586657144,41,42.21,12.73,57.0,5.7
232,Tottori-shi,75,JP,1586657144,66,35.5,134.23,50.0,3.6
233,Quatre Cocos,40,MU,1586657145,78,-20.21,57.76,78.01,6.7
234,Belmonte,75,BR,1586657145,94,-15.86,-38.88,77.0,1.5
235,Wajima,75,JP,1586657145,56,37.4,136.9,51.8,4.1
236,Brae,100,GB,1586657145,75,60.4,-1.35,46.4,13.9
237,Carnarvon,7,AU,1586657146,61,-24.87,113.63,82.4,8.2
238,Faanui,8,PF,1586656887,73,-16.48,-151.75,82.62,5.9
239,Hofn,5,IS,1586657146,89,64.25,-15.21,30.72,9.05
240,São Félix do Xingu,97,BR,1586657147,91,-6.64,-51.99,74.01,0.22
241,Baykit,72,RU,1586657147,82,61.67,96.37,34.92,2.44
242,Mariehamn,90,AX,1586657147,93,60.1,19.93,41.0,6.7
243,Il’inskiy,32,RU,1586657147,79,55.62,38.12,28.4,2.0
244,Zyryanka,22,RU,1586657148,97,65.75,150.85,30.45,6.82
245,Zafra,45,ES,1586657148,93,38.42,-6.42,59.0,2.6
246,Chui,0,UY,1586657149,79,-33.7,-53.46,60.82,2.71
247,Lima,75,PE,1586656804,83,-12.04,-77.03,71.6,5.1
248,Poum,87,NC,1586657150,72,-20.23,164.02,79.79,4.88
249,Barabai,95,ID,1586657150,87,-2.58,115.38,76.89,0.65
250,Rockingham,1,US,1586657150,45,42.97,-71.1,45.0,4.1
251,Penzance,7,GB,1586657151,81,50.12,-5.54,52.0,3.6
252,Talnakh,75,RU,1586657151,95,69.49,88.4,33.8,15.0
253,Bluff,20,NZ,1586657099,48,-46.6,168.33,72.0,4.47
254,Coyhaique,100,CL,1586657152,61,-45.58,-72.07,46.4,2.1
255,Navalmoral de la Mata,96,ES,1586657153,92,39.89,-5.54,51.01,1.94
256,Redmond,20,US,1586657067,24,47.67,-122.12,57.2,5.1
257,Zhigalovo,100,RU,1586657153,59,54.81,105.16,40.3,3.16
258,La Ronge,75,CA,1586656865,53,55.1,-105.28,21.2,4.1
259,Port-Cartier,20,CA,1586657153,47,50.03,-66.87,35.01,3.6
260,Maués,96,BR,1586657154,95,-3.38,-57.72,74.37,0.47
261,Geraldton,40,AU,1586657154,69,-28.77,114.6,80.6,4.6
262,Vardø,48,NO,1586657154,94,70.37,31.11,26.17,4.62
263,Flinders,0,AU,1586657154,32,-34.58,150.86,69.01,2.6
264,Borogontsy,100,RU,1586657154,91,62.67,131.17,33.42,2.63
265,Valdivia,0,CL,1586657036,93,-39.81,-73.25,39.2,1.5
266,Vilyuysk,98,RU,1586657156,89,63.76,121.62,32.95,5.97
267,Muzhi,81,RU,1586657156,92,65.37,64.67,18.16,1.35
268,Atasū,100,KZ,1586657156,49,48.68,71.64,47.71,5.61
269,Arrondissement de Vichy,18,FR,1586657156,81,46.25,3.58,53.6,1.5
270,Hasaki,75,JP,1586656926,71,35.73,140.83,57.0,5.7
271,Evensk,100,RU,1586657158,88,61.95,159.23,15.84,0.31
272,Mogadishu,1,SO,1586657158,74,2.04,45.34,83.23,4.31
273,Quelimane,17,MZ,1586657158,89,-17.88,36.89,65.98,1.7
274,Claresholm,90,CA,1586657158,62,50.03,-113.59,25.0,3.04
275,Souillac,40,MU,1586656864,78,-20.52,57.52,79.0,6.7
276,Waunakee,90,US,1586657159,87,43.19,-89.46,48.99,1.5
277,Hede,0,CN,1586657159,44,33.77,120.25,59.9,4.02
278,Dalvik,90,IS,1586657159,93,65.97,-18.53,32.0,10.8
279,Maragogi,63,BR,1586657159,80,-9.01,-35.22,78.94,2.19
280,Mana,97,GF,1586657160,83,5.66,-53.78,76.8,3.84
281,Forsytheganj,72,BY,1586657161,79,52.63,29.73,32.47,2.05
282,Dubno,99,UA,1586657161,71,50.42,25.73,36.01,2.33
283,Taksimo,100,RU,1586657161,53,56.34,114.88,41.34,3.87
284,Avera,1,US,1586657161,54,33.19,-82.53,61.0,2.05
285,Daru,62,PG,1586657162,69,-9.08,143.21,85.21,4.26
286,Bahía Solano,100,CO,1586657162,90,6.23,-77.4,78.17,3.1
287,Pemberton,5,CA,1586657162,13,50.32,-122.8,50.0,1.5
288,Pangnirtung,100,CA,1586657162,88,66.15,-65.71,25.32,3.65
289,Longonjo,97,AO,1586657163,59,-12.91,15.25,62.55,1.09
290,Rawson,0,AR,1586657163,40,-43.3,-65.1,54.82,2.47
291,Corner Brook,75,CA,1586657163,80,48.97,-57.95,33.8,6.2
292,Makkah al Mukarramah,39,SA,1586657046,41,21.43,39.83,66.38,3.0
293,Ailigandí,78,PA,1586657164,86,9.23,-78.02,79.99,4.43
294,Kozhanka,34,UA,1586657164,68,49.98,29.74,28.4,1.0
295,Cap Malheureux,40,MU,1586657164,78,-19.98,57.61,78.01,6.7
296,Saint Anthony,90,US,1586657164,37,45.02,-93.22,55.4,5.1
297,Perelyub,97,RU,1586657165,64,51.87,50.37,43.12,5.78
298,Kerchevskiy,100,RU,1586657165,90,59.95,56.29,35.11,2.09
299,Yoichi,40,JP,1586657165,48,43.2,140.77,46.0,2.6
300,Sulęcin,62,PL,1586657165,75,52.44,15.12,43.16,2.45
301,Bollnäs,100,SE,1586657166,94,61.35,16.39,37.99,0.89
302,Havøysund,20,NO,1586657166,74,71.0,24.66,28.4,1.5
303,Mumbwa,98,ZM,1586657166,65,-14.98,27.06,60.15,1.33
304,Nueva Gerona,0,CU,1586657166,74,21.88,-82.8,80.29,2.07
305,Bakel,2,SN,1586657167,11,14.9,-12.46,89.31,4.47
306,Goroka,100,PG,1586657167,45,-6.08,145.39,75.25,0.78
307,Pospelikha,0,RU,1586657167,65,51.95,81.77,40.73,4.42
308,Cintalapa,84,MX,1586657167,57,16.7,-93.73,76.84,2.15
309,Touros,20,BR,1586657168,88,-5.2,-35.46,78.8,1.5
310,Marsh Harbour,70,BS,1586657168,83,26.54,-77.06,73.33,9.05
311,Vallenar,80,CL,1586657168,59,-28.57,-70.76,59.0,0.76
312,Basco,99,PH,1586657168,79,20.45,121.97,77.38,6.97
313,Chokurdakh,100,RU,1586657169,97,70.63,147.92,29.89,5.79
314,Maricá,90,BR,1586657169,94,-22.92,-42.82,69.8,3.1
315,Balaipungut,75,ID,1586657169,94,1.05,101.28,78.8,2.6
316,Hay River,75,CA,1586657169,61,60.82,-115.8,17.6,2.6
317,Tanout,100,NE,1586657170,16,14.97,8.89,75.63,3.22
318,Kununurra,100,AU,1586657170,55,-15.77,128.73,87.8,2.6
319,Lar,0,IN,1586657170,15,26.2,83.97,90.0,0.77
320,Mossamedes,31,AO,1586657170,66,-15.2,12.15,75.83,2.29
321,Acarí,56,PE,1586657171,69,-15.43,-74.62,73.26,1.48
322,Olafsvik,51,IS,1586657171,88,64.89,-23.71,33.84,10.38
323,Trabzon Province,40,TR,1586656920,76,40.92,39.83,50.0,3.23
324,Nampa,1,US,1586657172,20,43.54,-116.56,59.0,7.7
325,Potot,2,PH,1586657173,68,12.2,123.43,83.32,3.79
326,Lawang,100,ID,1586657174,52,-7.84,112.69,82.54,0.45
327,San Juan,1,AR,1586657174,40,-31.54,-68.54,69.44,3.54
328,Key Largo,75,US,1586657174,94,25.09,-80.45,77.0,4.6
329,Platonovka,94,RU,1586657174,85,52.71,41.95,32.85,7.75
330,Sainte-Savine,14,FR,1586656883,76,48.3,4.05,57.2,0.89
331,Burns Lake,0,CA,1586657175,64,54.23,-125.75,32.04,0.74
332,Esfarāyen,100,IR,1586657175,54,37.08,57.51,53.44,2.9
333,Comodoro Rivadavia,3,AR,1586657175,47,-45.87,-67.5,53.6,7.2
334,Sampit,42,ID,1586657175,57,-2.53,112.95,90.59,1.0
335,Chumikan,30,RU,1586657172,57,54.72,135.31,45.34,2.69
336,Nhulunbuy,100,AU,1586657176,77,-12.23,136.77,84.25,5.24
337,Løding,75,NO,1586657176,55,67.3,14.75,35.01,8.7
338,Gigmoto,49,PH,1586657179,71,13.78,124.39,82.11,1.84
339,Guerrero Negro,7,MX,1586657179,71,27.98,-114.06,61.11,8.51
340,Lüderitz,0,NA,1586657179,87,-26.65,15.16,57.2,1.5
341,Imbituba,75,BR,1586657179,64,-28.24,-48.67,68.0,3.1
342,Xinzhi,0,CN,1586657180,19,36.5,111.7,62.56,5.02
343,College,75,US,1586657181,26,64.86,-147.8,46.4,0.65
344,Kamenka,92,RU,1586657181,88,51.32,42.77,33.01,4.47
345,Coahuayana Viejo,55,MX,1586657162,78,18.73,-103.68,73.89,1.78
346,Pedernales,13,DO,1586657181,67,18.04,-71.74,79.41,2.41
347,Manthani,0,IN,1586657182,26,18.65,79.67,91.44,1.4
348,Turochak,4,RU,1586657182,69,52.26,87.12,43.02,0.34
349,Mwinilunga,93,ZM,1586657182,66,-11.74,24.43,60.67,1.84
350,Chapais,90,CA,1586657182,68,49.78,-74.85,28.4,3.6
351,Celestún,0,MX,1586657183,80,20.87,-90.4,80.17,6.32
352,Borisoglebskiy,0,RU,1586657183,92,57.26,39.15,23.0,1.0
353,Rome,1,US,1586657027,51,43.21,-75.46,35.6,1.96
354,Pitimbu,20,BR,1586657183,83,-7.47,-34.81,78.8,2.1
355,Alofi,99,NU,1586657184,70,-19.06,-169.92,84.2,5.7
356,Wyndham,1,US,1586657184,57,37.7,-77.61,53.6,1.5
357,Kifrī,4,IQ,1586657184,55,34.7,44.97,58.37,2.65
358,Voh,79,NC,1586657184,67,-20.97,164.7,81.73,2.44
359,Pacific Grove,90,US,1586657185,76,36.62,-121.92,60.01,3.6
360,Uruaçu,85,BR,1586657185,83,-14.52,-49.14,67.66,0.57
361,Khovd,100,MN,1586657185,29,48.01,91.64,45.39,1.78
362,Kāman,10,IN,1586657185,21,27.65,77.27,87.91,2.94
363,Pyn U Lwin,30,MM,1586657185,47,22.03,96.47,80.6,0.97
364,Rock Sound,69,BS,1586657186,86,24.9,-76.2,75.52,8.12
365,Pringsewu,69,ID,1586657186,61,-5.36,104.97,87.19,1.59
366,Atyrau,75,KZ,1586657186,81,47.12,51.88,46.4,9.0
367,Santa Maria,0,BR,1586657186,85,-29.68,-53.81,55.81,1.77
368,Lohja,100,FI,1586657186,80,60.25,24.07,37.99,4.1
369,Weymouth,19,US,1586657187,44,42.22,-70.94,45.0,6.2
370,Bogorodskoye,94,RU,1586657187,92,56.55,37.88,29.75,1.96
371,Qaqortoq,100,GL,1586657187,36,60.72,-46.03,46.4,17.5
372,Jamame,84,SO,1586657188,79,0.07,42.75,81.95,2.12
